Fernandes LE-1Z 3S Black	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-25T20:20:06.050Z	g4.jpg	аккустика	9AvG-j	7	681365
Ditson 000-10 (ель/красное дерево)	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-25T20:20:06.051Z	g2.jpg	электро	ry888d	6	499972
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Создавалась для известных музыкантов.	2023-09-26T20:20:06.051Z	g9.jpg	аккустика	U4NIcG	12	132044
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Создавалась для известных музыкантов.	2023-09-27T20:20:06.051Z	g2.jpg	аккустика	Renucl	6	908829
Cort GB24JJ-2T GB Series	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-28T20:20:06.051Z	g5.jpg	электро	tJB2up	4	793804
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-29T20:20:06.051Z	g2.jpg	аккустика	dbYX5R	6	579507
Ditson 000-10 (ель/красное дерево)	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-29T20:20:06.052Z	g6.jpg	укулеле	BLDE0M	6	520358
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-27T20:20:06.052Z	g6.jpg	аккустика	jvdY6P	12	631473
Ditson 000-10 (ель/красное дерево)	Если вы любите что-то необычное, что может выделиться из массы однообразного.	2023-09-23T20:20:06.052Z	g2.jpg	укулеле	sXKeCg	12	68334
Fernandes LE-1Z 3S Black	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-28T20:20:06.052Z	g3.jpg	укулеле	pKtFP9	6	797614
Fernandes LE-1Z 3S Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-29T20:20:06.052Z	g4.jpg	электро	u0Rkpd	12	125398
Fernandes LE-1Z 3S Black	Есть ощущение, что в руках история.	2023-09-26T20:20:06.052Z	g2.jpg	аккустика	mWd92t	6	254241
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Это фолк, который подойдет начинающему фингерстайл гитаристу.	2023-09-25T20:20:06.052Z	g4.jpg	аккустика	4orXxg	4	45621
Cort 5-и струнная Action-DLX-V-AS-OPN Action Series	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-28T20:20:06.052Z	g10.jpg	аккустика	cZM8m3	7	254434
Cort GB24JJ-2T GB Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-24T20:20:06.052Z	g3.jpg	аккустика	Dhntpn	6	268907
Cort GB24JJ-2T GB Series	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-27T20:20:06.052Z	g8.jpg	аккустика	zRwyQm	7	839410
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-26T20:20:06.052Z	g6.jpg	аккустика	wzXz6Q	6	146930
Ovation CS24-5 Celebrity Standard Mid Cutaway Black	Сейчас эти гитары гораздо доступнее чем раньше.	2023-09-23T20:20:06.052Z	g6.jpg	электро	VpJKJf	6	372067
Ditson 000-10 (ель/красное дерево)	Есть ощущение, что в руках история.	2023-09-24T20:20:06.052Z	g7.jpg	аккустика	zAkFxm	4	511813
Cort GB24JJ-2T GB Series	Звук очень разборчивый и подходит для мелодий: фингерстайл, переборы или игра медиатором.	2023-09-24T20:20:06.052Z	g7.jpg	электро	cZ1w03	6	435935
